caption,trend_summary,page,section,reporting_period,date_of_presentation
Revenue by Segment,"Total revenues increased to $21.6 billion in 1Q25 from $21.0 billion in 1Q24 and $19.5 billion in 4Q24. In 1Q25, Markets was the largest contributor with $6.0B, followed by USPB ($5.2B), Services ($4.9B), Wealth ($2.1B), Banking ($2.0B), and All Other ($1.4B).",6,Financial Results,Q1_2025,2025-04-15
Reported Expense Trend,"Total reported expenses decreased from $14.1B in 1Q24 to $13.4B in 1Q25. Compensation and benefits & restructuring decreased, while Technology/communication increased. Other Expenses also decreased. Direct Staff headcount reduced from 237k in 1Q24 to 229k in 2Q24 and has remained flat since.",7,Financial Results,Q1_2025,2025-04-15
EOP Loans by Segment,"In U.S. Cards Loans, the proportion of loans by segment has been stable, with Branded Cards at 69% and Retail Services at 31% in 1Q25.",8,Financial Results,Q1_2025,2025-04-15
EOP Loans by FICO Score,"The credit quality of U.S. Cards Loans remains high, with 85% of loans held by borrowers with a FICO score of 660 or higher in 1Q25, consistent with previous quarters.",8,Financial Results,Q1_2025,2025-04-15
Corporate Lending Exposure By Region,"As of 1Q25, 57% of corporate lending exposure is in the U.S. and 43% is international.",8,Financial Results,Q1_2025,2025-04-15
Corporate Lending Exposure By Grade Rating,"The credit quality of the corporate lending portfolio has seen a slight shift, with Investment Grade (IG) rated exposure decreasing from 83% in 1Q24 to 79% in 1Q25.",8,Financial Results,Q1_2025,2025-04-15
QoQ Standardized CET1 Capital Ratio Walk,"The Standardized CET1 Capital Ratio decreased by 20 basis points from 13.6% in 4Q24 to 13.4% in 1Q25. The change was driven by a 34 bps increase from Net Income, a 5 bps increase from Unrealized AFS Gains, a 25 bps decrease from Capital Distribution, and a 32 bps decrease from RWA, DTA Impact, and Other factors.",9,Financial Results,Q1_2025,2025-04-15
End of Period Assets,"Total assets increased by 9% QoQ and 6% YoY to $2,572 billion in 1Q25. Trading-Related Assets saw the largest QoQ growth at 26%, while Loans, net grew 1% QoQ.",9,Financial Results,Q1_2025,2025-04-15
End of Period Liabilities and Equity,"Total liabilities and equity increased by 9% QoQ and 6% YoY to $2,572 billion in 1Q25. Trading-Related Liabilities grew significantly by 39% QoQ, while Deposits grew 2% QoQ.",9,Financial Results,Q1_2025,2025-04-15
EBT Trend,"Wealth EBT increased 62% year-over-year to $359 million in 1Q25. After a peak in 4Q24 at $413 million, EBT saw a sequential decline but remains significantly higher than the $221 million in 1Q24.",13,Financial Results,Q1_2025,2025-04-15
NNIA Trend,"Net New Investment Assets (NNIA) showed strong growth, rising from $2.8 billion in 1Q24 to $16.5 billion in 1Q25. The last twelve months of NNIA represent approximately 11% organic growth.",13,Financial Results,Q1_2025,2025-04-15
Net Interest Income,"Citigroup's Net Interest Income (NII) increased to $14.01 billion in 1Q25, up from $13.51 billion in 1Q24. The Net Interest Margin (NIM) also rose to 2.47% in 1Q25 from 2.42% a year prior. NII ex-Markets has remained relatively stable, ending at $12.00 billion in 1Q25.",19,Financial Results,Q1_2025,2025-04-15
Average Loans,"Total average loans grew steadily from $679 billion in 1Q24 to $691 billion in 1Q25, a 2% YoY increase. This growth was driven by a 2% increase in Corporate loans and a 1% increase in Consumer loans over the year.",19,Financial Results,Q1_2025,2025-04-15
Average Deposits,"Total average deposits decreased by 2% YoY, from $1,326 billion in 1Q24 to $1,305 billion in 1Q25. This was mainly due to a 4% YoY decrease in Consumer deposits, while Corporate deposits grew by 1% YoY.",19,Financial Results,Q1_2025,2025-04-15
Gross Loan Yield and Cost of Interest-Bearing Deposits,The Gross Loan Yield trended downwards from 9.22% in 1Q24 to 8.66% in 1Q25. The Cost of Interest-Bearing Deposits also decreased from 3.70% in 1Q24 to 3.10% in 1Q25.,19,Financial Results,Q1_2025,2025-04-15
Branded Cards - Credit Cards: 90+ DPD & NCL Trend,"For Branded Cards, both Net Credit Loss (NCL) and 90+ Days Past Due (DPD) rates have shown a consistent upward trend from 1Q23 to 1Q25. NCL rate increased from 2.18% to 3.89%, and the 90+ DPD rate increased from 0.78% to 1.20%.",20,Financial Results,Q1_2025,2025-04-15
Branded Cards - Credit Cards: ACLL Balance and ACLL / EOP Loans,"The Allowance for Credit Losses on Loans (ACLL) balance for Branded Cards grew from $6.4B in 1Q23 to $7.5B in 1Q25. The ratio of ACLL to End of Period (EOP) loans remained relatively stable, ending at 6.6% in 1Q25.",20,Financial Results,Q1_2025,2025-04-15
Retail Services - Credit Cards: 90+ DPD & NCL Trend,"For Retail Services, NCL rates rose from 4.08% in 1Q23 to 6.43% in 1Q25. The 90+ DPD rate also increased over the period from 1.76% to 2.38%, though with some quarterly fluctuations.",20,Financial Results,Q1_2025,2025-04-15
Retail Services - Credit Cards: ACLL Balance and ACLL / EOP Loans,"The ACLL balance for Retail Services was $5.9B in 1Q25, down from a peak of $6.2B in 2Q24. The ratio of ACLL to EOP loans remained elevated, ending at 11.8% in 1Q25.",20,Financial Results,Q1_2025,2025-04-15
Historical average deposit growth,"Total average deposits grew from $1,017 billion in 1Q19 to $1,305 billion in 1Q25, peaking in mid-2023. Services has been a consistent driver of growth, increasing from $598 billion to $826 billion. Wealth deposits have also grown steadily. USPB and All other deposits have declined from their peaks in 2021-2022.",21,Financial Results,Q1_2025,2025-04-15
