text,page,section,reporting_period,date_of_presentation
"Our Vision: Be the preeminent banking partner for institutions with cross-border needs, a global leader in wealth management and a valued personal bank in our home market of the United States.",2,Vision,Q1_2025,2025-04-15
"Priorities under 'Largely Complete' include Simplification (focusing on five core businesses, exiting 14 international consumer markets, and simplifying structure) and Culture & Talent (building a winning culture, investing in talent, and delivering One Citi).",2,Vision,Q1_2025,2025-04-15
"Main Priorities for 2025 and 2026 include Transformation (relentless execution, regulatory remediation, modernizing infrastructure, data enhancements) and Enhancing Business Performance (maximizing global network, scaling wealth, targeting share gains, and growing the commercial banking segment).",2,Vision,Q1_2025,2025-04-15
"$21.6B of revenues, up 3% YoY.",3,Financial Results,Q1_2025,2025-04-15
Record revenues in USPB and Wealth.,3,Financial Results,Q1_2025,2025-04-15
"Expenses of $13.4B, efficiency ratio of 62% improved by ~490 bps YoY.",3,Financial Results,Q1_2025,2025-04-15
Positive operating leverage for Citi and across all businesses.,3,Financial Results,Q1_2025,2025-04-15
RoTCE of 9.1% up ~150 bps YoY.,3,Financial Results,Q1_2025,2025-04-15
"CET1 Capital Ratio of 13.4%, ~130 bps above current regulatory minimum.",3,Financial Results,Q1_2025,2025-04-15
Returned ~$2.8 billion to common shareholders through buybacks & dividends.,3,Financial Results,Q1_2025,2025-04-15
Services has achieved 3 consecutive quarters of positive operating leverage.,3,Financial Results,Q1_2025,2025-04-15
Markets has achieved 4 consecutive quarters of positive operating leverage.,3,Financial Results,Q1_2025,2025-04-15
Banking has achieved 5 consecutive quarters of positive operating leverage.,3,Financial Results,Q1_2025,2025-04-15
Wealth has achieved 4 consecutive quarters of positive operating leverage.,3,Financial Results,Q1_2025,2025-04-15
USPB has achieved 10 consecutive quarters of positive operating leverage.,3,Financial Results,Q1_2025,2025-04-15
"Services continued its momentum, with TTS gaining ~65 bps and Securities Services gaining ~100 bps of market share YoY.",4,Financial Results,Q1_2025,2025-04-15
"Markets saw 12% revenue growth, with Equities revenues up 23% YoY and Fixed Income revenues up 8% YoY.",4,Financial Results,Q1_2025,2025-04-15
"Banking achieved IB Wallet Share Gains, with IB Fees up 14% YoY and Advisory Fees up 84% YoY.",4,Financial Results,Q1_2025,2025-04-15
Wealth is executing on its strategy with Net New Investment Assets (NNIA) of $16.5B and Client Investment Assets up 16% YoY.,4,Financial Results,Q1_2025,2025-04-15
"USPB is showing improving returns, with RoTCE at 12.9%, up ~740 bps YoY, and revenue up 2% YoY.",4,Financial Results,Q1_2025,2025-04-15
"Business achievements include launching Citi Payments Express in 19 countries, supporting Equities and Prime growth, and signing a partnership with Palantir for Wealth.",5,Financial Results,Q1_2025,2025-04-15
USPB improved customer support with a Gen AI pilot and launched Flex Pay on Apple Pay.,5,Financial Results,Q1_2025,2025-04-15
Cross LOBs enhanced the institutional client planning tool for ~2K relationship managers.,5,Financial Results,Q1_2025,2025-04-15
Modernization efforts involved retiring or replacing 130 applications in 1Q25.,5,Financial Results,Q1_2025,2025-04-15
Expanded adoption of Gen AI tools resulted in 385K utilizations and ~220K automated code reviews.,5,Financial Results,Q1_2025,2025-04-15
Automated high-priority manual reconciliations and used Gen AI to detect unauthorized trading activity to improve FX surveillance.,5,Financial Results,Q1_2025,2025-04-15
"The key benefits of these initiatives are enhancing top-line revenue growth, improving operating efficiency, and reducing risk while improving safety and soundness.",5,Financial Results,Q1_2025,2025-04-15
"Revenues were up 3% YoY, driven by growth in each business, largely offset by a decline in All Other. Excluding divestiture impacts, revenues were also up 3% YoY.",6,Financial Results,Q1_2025,2025-04-15
"Expenses were down 5% YoY, driven by a smaller FDIC special assessment and the absence of a restructuring charge. Excluding the FDIC special assessment and divestitures, expenses were down 3% YoY.",6,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $2.7 billion, primarily from net credit losses in cards and a firmwide ACL build, reflecting macroeconomic uncertainty.",6,Financial Results,Q1_2025,2025-04-15
RoTCE for the quarter was 9.1%.,6,Financial Results,Q1_2025,2025-04-15
Overall expenses in 1Q25 were down 5% YoY.,7,Financial Results,Q1_2025,2025-04-15
"Technology/communication expenses were up 6% YoY due to continued investments in transformation, safety & soundness.",7,Financial Results,Q1_2025,2025-04-15
"Other Expenses were down 10% YoY, driven by lower deposit insurance and legal-related charges, partially offset by higher professional fees and marketing.",7,Financial Results,Q1_2025,2025-04-15
"Compensation and benefits & restructuring expenses were down 6% YoY, due to the absence of restructuring, productivity saves, and favorable FX impacts.",7,Financial Results,Q1_2025,2025-04-15
Citi had nearly $23B in total reserves with a reserve-to-funded loans ratio of 2.7% as of March 31.,8,Financial Results,Q1_2025,2025-04-15
"Total EOP Consumer Loans were $386B, and Total Corporate Lending Exposure was $724B.",8,Financial Results,Q1_2025,2025-04-15
"Revenues were up 3% YoY, driven by growth in TTS, with NII up 5% and NIR down 4%.",10,Financial Results,Q1_2025,2025-04-15
"Expenses were down 3% YoY, largely driven by lower deposit insurance costs, severance, and legal expenses.",10,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $51 million, primarily from a net ACL build of $45 million.",10,Financial Results,Q1_2025,2025-04-15
Net Income for the quarter was $1.6 billion.,10,Financial Results,Q1_2025,2025-04-15
RoTCE was 26.2%.,10,Financial Results,Q1_2025,2025-04-15
"Revenues up 12% YoY, driven by growth in both Fixed Income (up 8% YoY) and Equity markets (up 23% YoY).",11,Financial Results,Q1_2025,2025-04-15
"Expenses up 2% YoY, driven by higher volume and other revenue-related expenses.",11,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $201 million, primarily related to Spread Products and a net ACL build.",11,Financial Results,Q1_2025,2025-04-15
Net Income was $1.8 billion.,11,Financial Results,Q1_2025,2025-04-15
RoTCE was 14.3%.,11,Financial Results,Q1_2025,2025-04-15
"Revenues up 12% YoY, driven by growth in Investment Banking (up 14%) and mark-to-market on loan hedges.",12,Financial Results,Q1_2025,2025-04-15
"Expenses down 12% YoY, driven by lower compensation from right-sizing the workforce.",12,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $214 million, consisting of a $180 million net ACL build and $34 million in net credit losses.",12,Financial Results,Q1_2025,2025-04-15
Net Income was $543 million.,12,Financial Results,Q1_2025,2025-04-15
RoTCE was 10.7%.,12,Financial Results,Q1_2025,2025-04-15
"Revenue was up 24% YoY, driven by growth across Citigold, Private Bank, and Wealth at Work. NII was up 30% YoY and NIR was up 16% YoY.",13,Financial Results,Q1_2025,2025-04-15
"Expenses were flat YoY, as benefits from right-sizing the workforce were offset by higher revenue-related expenses.",13,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $98 million, consisting of a $60 million net ACL build and $38 million in net credit losses.",13,Financial Results,Q1_2025,2025-04-15
"Net Income was $284 million, and RoTCE was 9.4%.",13,Financial Results,Q1_2025,2025-04-15
"Revenues up 2% YoY, driven by higher NII from loan growth in Branded Cards and higher deposit spreads in Retail Banking.",14,Financial Results,Q1_2025,2025-04-15
"Expenses were flat YoY, as productivity savings were offset by higher advertising, marketing, and legal expenses.",14,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $1.8 billion, consisting of $2.0 billion in net credit losses, partially offset by a $172 million net ACL release.",14,Financial Results,Q1_2025,2025-04-15
Net Income was $745 million.,14,Financial Results,Q1_2025,2025-04-15
RoTCE was 12.9%.,14,Financial Results,Q1_2025,2025-04-15
"Revenues down 39% YoY, driven by lower NII and mark-to-market valuation changes, as well as lower revenue from closed exits and wind-downs.",15,Financial Results,Q1_2025,2025-04-15
"Expenses down 17% YoY, driven by a smaller FDIC special assessment, absence of a restructuring charge, and lower expenses from wind-down and exit markets.",15,Financial Results,Q1_2025,2025-04-15
"Credit Costs were $359 million, consisting of $256 million in net credit losses and an ACL build of $103 million.",15,Financial Results,Q1_2025,2025-04-15
"Revenues are guided to be ~$83.1-84.1 billion, with NII ex-Markets up 2-3%.",16,Outlook,Q1_2025,2025-04-15
Expenses are guided to be slightly below $53.4 billion.,16,Outlook,Q1_2025,2025-04-15
"For Cost of Credit, Cards NCL rates are expected to be around the top of the 2024 ranges, with higher losses in 1H, and ACL build will be a function of the macroeconomic environment.",16,Outlook,Q1_2025,2025-04-15
"For Capital, a $20 billion common share repurchase program was authorized in January, with $1.75 billion repurchased in 1Q25 and a similar amount targeted for 2Q25.",16,Outlook,Q1_2025,2025-04-15
Citi remains committed to continuing to improve returns over time.,16,Outlook,Q1_2025,2025-04-15
This presentation contains forward-looking statements that are subject to risks and uncertainties.,17,Footnotes,Q1_2025,2025-04-15
"Actual results may differ materially due to factors such as macroeconomic conditions, geopolitical events, and regulatory changes.",17,Footnotes,Q1_2025,2025-04-15
These statements are based on current expectations and Citi does not undertake to update them.,17,Footnotes,Q1_2025,2025-04-15
"For a full list of risk factors, refer to Citigroup's filings with the U.S. Securities and Exchange Commission, including the 2024 Form 10-K.",17,Footnotes,Q1_2025,2025-04-15
Total average deposits show a Compound Annual Growth Rate (CAGR) of 4.2% since 1Q19.,21,Financial Results,Q1_2025,2025-04-15
Services average deposits show a CAGR of 5.5% since 1Q19.,21,Financial Results,Q1_2025,2025-04-15
"Effective January 1, 2025, certain transaction processing fees paid by Citi are now presented as a contra-revenue within non-interest revenue, instead of an operating expense.",22,Footnotes,Q1_2025,2025-04-15
Prior periods have been conformed to reflect this change in presentation.,22,Footnotes,Q1_2025,2025-04-15
This change in presentation does not impact Citi's net income.,22,Footnotes,Q1_2025,2025-04-15
"This slide provides definitions for key acronyms and financial terms used throughout the presentation, such as ACL (Allowance for Credit Losses), CET1 (Common Equity Tier 1), NII (Net Interest Income), RoTCE (Return on Average Tangible Common Equity), and USPB (U.S. Personal Banking).",29,Glossary,Q1_2025,2025-04-15
Contains footnotes providing further details and sources for information presented on slides 2 and 3.,30,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details, definitions, and sources for information presented on slide 4.",31,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details, reconciliations for non-GAAP measures, and definitions for information presented on slides 6, 7, and 8.",32,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details on capital ratios, balance sheet components, and definitions for information presented on slide 9.",33,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details on accounting changes, non-GAAP measures, and definitions for information presented on slides 10 and 11.",34,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details on credit derivatives, non-GAAP measures, and definitions for information presented on slides 12 and 13.",35,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details on accounting changes, non-GAAP measures, and definitions of user metrics for information presented on slide 14.",36,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details on managed basis results, non-GAAP measures, and guidance adjustments for information presented on slides 15 and 16.",37,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details and reconciliations for non-GAAP measures presented on slides 19, 23, 24, and 25.",38,Footnotes,Q1_2025,2025-04-15
"Contains footnotes providing further details and reconciliations for non-GAAP measures presented on slides 26, 27, and 28.",39,Footnotes,Q1_2025,2025-04-15
